-360	1	-6.283185307
-345	0.965925826	-6.021385919
-330	0.866025404	-5.759586532
-315	0.707106781	-5.497787144
-300	0.5	-5.235987756
-285	0.258819045	-4.974188368
-270	-1.83772E-16	-4.71238898
-255	-0.258819045	-4.450589593
-240	-0.5	-4.188790205
-225	-0.707106781	-3.926990817
-210	-0.866025404	-3.665191429
-195	-0.965925826	-3.403392041
-180	-1	-3.141592654
-165	-0.965925826	-2.879793266
-150	-0.866025404	-2.617993878
-135	-0.707106781	-2.35619449
-120	-0.5	-2.094395102
-105	-0.258819045	-1.832595715
-90	6.12574E-17	-1.570796327
-75	0.258819045	-1.308996939
-60	0.5	-1.047197551
-45	0.707106781	-0.785398163
-30	0.866025404	-0.523598776
-15	0.965925826	-0.261799388
0	1	0
15	0.965925826	0.261799388
30	0.866025404	0.523598776
45	0.707106781	0.785398163
60	0.5	1.047197551
75	0.258819045	1.308996939
90	6.12574E-17	1.570796327
105	-0.258819045	1.832595715
120	-0.5	2.094395102
135	-0.707106781	2.35619449
150	-0.866025404	2.617993878
165	-0.965925826	2.879793266
180	-1	3.141592654
195	-0.965925826	3.403392041
210	-0.866025404	3.665191429
225	-0.707106781	3.926990817
240	-0.5	4.188790205
255	-0.258819045	4.450589593
270	-1.83772E-16	4.71238898
285	0.258819045	4.974188368
300	0.5	5.235987756
315	0.707106781	5.497787144
330	0.866025404	5.759586532
345	0.965925826	6.021385919
360	1	6.283185307
